Publication Years	Record Count	% of 1,737,874
2020	121538	6.993
2019	110371	6.351
2018	99040	5.699
2017	92625	5.330
2021	87713	5.047
2016	87300	5.023
2015	81178	4.671
2014	70677	4.067
2013	67128	3.863
2012	64198	3.694
2011	60557	3.485
2010	55417	3.189
2009	51739	2.977
2008	47468	2.731
2007	44245	2.546
2006	40303	2.319
2005	38356	2.207
2004	36034	2.073
2003	33716	1.940
2002	31157	1.793
2001	30277	1.742
2000	29718	1.710
1999	28745	1.654
1998	27674	1.592
1997	26028	1.498
1996	24784	1.426
1995	23465	1.350
1994	21837	1.257
1993	20754	1.194
1992	19495	1.122
1991	19202	1.105
1990	7765	0.447
1983	6265	0.360
1987	5996	0.345
1989	5920	0.341
1988	5904	0.340
1986	5857	0.337
1984	5703	0.328
1985	5690	0.327
1982	5547	0.319
1981	5397	0.311
1980	5292	0.305
1979	5154	0.297
1978	4851	0.279
1977	4456	0.256
1976	3873	0.223
1974	3624	0.209
1975	3617	0.208
1973	3460	0.199
1972	3079	0.177
1971	2728	0.157
1969	2648	0.152
1970	2435	0.140
1968	2430	0.140
1967	2244	0.129
1966	2023	0.116
1965	1937	0.111
1964	1528	0.088
1961	1499	0.086
1963	1473	0.085
1962	1356	0.078
1960	1059	0.061
1953	1031	0.059
1954	997	0.057
1958	974	0.056
1952	959	0.055
1959	951	0.055
1951	920	0.053
1950	859	0.049
1957	854	0.049
1956	844	0.049
1947	817	0.047
1948	812	0.047
1949	777	0.045
1955	718	0.041
1946	673	0.039
1945	545	0.031
1930	398	0.023
1936	388	0.022
1935	385	0.022
1938	385	0.022
1939	384	0.022
1934	382	0.022
1941	377	0.022
1932	374	0.022
1931	366	0.021
1937	358	0.021
1927	356	0.020
1933	351	0.020
1942	345	0.020
1924	341	0.020
1928	341	0.020
1923	338	0.019
1925	336	0.019
1940	334	0.019
1943	324	0.019
1929	314	0.018
1922	291	0.017
1926	291	0.017
1944	277	0.016
1921	251	0.014
1920	236	0.014
2022	216	0.012
1917	197	0.011
1916	196	0.011
1918	189	0.011
1910	183	0.011
1919	183	0.011
1914	181	0.010
1913	178	0.010
1915	175	0.010
1912	156	0.009
1909	140	0.008
1911	130	0.007
1907	129	0.007
1906	123	0.007
1908	122	0.007
1904	115	0.007
1903	107	0.006
1901	99	0.006
1905	92	0.005
1900	83	0.005
1902	76	0.004
1899	1	0.000
