Legget_species	matching_supfam_id	genome_name	genome_id	file_name_record	note	gram_profile
Acinetobacter ADP1	ab	Acinetobacter sp. ADP1	62977.6	Acinetobacter_ADP1_genome_62977.6		n
Aeromonas hydrophila	33	Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703.7	Aeromonas_hydrophila_genome_380703.7		n
Aggregatibacter actinomycetemcomitans	m5b	Aggregatibacter actinomycetemcomitans ANH9381	754507.3	Aggregatibacter_actinomycetemcomitans_genome_754507.3		n
Anaplasma phagocytophilum	as	Anaplasma phagocytophilum HZ	212042.8	Anaplasma_phagocytophilum_genome_212042.8		n
Arcobacter butzleri	6k	Arcobacter butzleri RM4018	367737.6	Arcobacter_butzleri_genome_367737.6		n
Bacillus anthracis	2N	Bacillus anthracis str. A0248	592021.13	Bacillus_anthracis_genome_592021.13		p
Bacillus cereus	k2	Bacillus cereus AH820	405535.8	Bacillus_cereus_genome_405535.8		p
Bacteroides fragilis	fa	Bacteroides fragilis YCH46	295405.11	Bacteroides_fragilis_genome_295405.11		n
Bordetella pertussis	be	Bordetella pertussis Tohama I	257313.5	Bordetella_pertussis_genome_257313.5		n
Brucella abortus	91	Brucella abortus S19	430066.4	Brucella_abortus_genome_430066.4		n
Brucella melitensis	1E	Brucella melitensis ATCC 23457	546272.3	Brucella_melitensis_genome_546272.3		n
Burkholderia mallei	bi	Burkholderia mallei ATCC 23344	243160.12	Burkholderia_mallei_genome_243160.12		n
Burkholderia pseudomallei	HkK	Burkholderia pseudomallei MSHR305	1335307.3	Burkholderia_pseudomallei_genome_1335307.3		n
Campylobacter jejuni subsp. jejuni	2yk	Campylobacter jejuni subsp. jejuni 00-2425	1357994.3	Campylobacter_jejuni_subsp._jejuni_genome_1357994.3		n
Clostridium perfringens	2f	Clostridium perfringens ATCC 13124	195103.1	Clostridium_perfringens_genome_195103.10		p
Coxiella burnetii	5w	Coxiella burnetii RSA 331	360115.5	Coxiella_burnetii_genome_360115.5		n
Cronobacter sakazakii	hS	Cronobacter sakazakii ATCC BAA-894	290339.8	Cronobacter_sakazakii_genome_290339.8		n
Cryptosporidium parvum	NA	NA	NA	NA	not bacteria	NA
Entamoeba histolytica	NA	NA	NA	NA	not bacteria	NA
Enterococcus faecalis	ef	Enterococcus faecalis V583	226185.9	Enterococcus_faecalis_genome_226185.9		p
